Date,Vàng,Tiền ảo,Cổ phiếu
2024-01-01,99.45895075749948,151.52611565063313,201.03605963304884
2024-01-02,102.09841224859542,153.28884117795567,199.928697781543
2024-01-03,100.67466087941253,160.53424801665162,201.11922630298005
2024-01-04,100.66400868747368,156.8613983370429,202.5840868473029
2024-01-05,98.22472934885113,155.88277159597519,204.42391142939618
2024-01-06,99.46166852784657,155.76558557681278,206.83002325568887
2024-01-07,99.43054111937957,159.44755061587514,204.23334960874615
2024-01-08,98.69531440523053,153.9800243499301,204.21700551399869
2024-01-09,98.33316728268343,166.94612933021907,202.7377323635712
2024-01-10,97.66587999424071,171.21612727786143,201.0701796733307
2024-01-11,98.8119757551246,176.92232972687958,199.13771480849402
2024-01-12,100.87934861358839,179.41514748596754,198.23749406090363
2024-01-13,102.60634355231635,176.14408559064512,197.3123488042411
2024-01-14,102.78331292877016,170.4529776844963,199.0652655335266
2024-01-15,102.64602160448077,175.64912206511576,200.11143289695661
2024-01-16,101.9093916066151,187.26717897402935,197.70320981419715
2024-01-17,101.94703316635774,183.1233931512431,197.7223328910276
2024-01-18,100.51456118989717,194.62232121996308,198.95019999537652
2024-01-19,100.56127390515645,193.2271139343966,197.47910210640453
2024-01-20,97.87230267208483,188.8863289207047,196.9474965780554
2024-01-21,96.95585973907049,186.5064727652358,201.41240960883707
2024-01-22,97.58985117439742,178.32039971469814,201.69556052935653
2024-01-23,96.55736180060715,180.12627339507327,201.20924758823762
2024-01-24,97.10629570922295,178.53047455816827,198.92501686268594
2024-01-25,97.44015102727705,185.92417065098635,196.69797396313425
2024-01-26,97.633411412371,187.93270056222963,197.01069989552298
2024-01-27,98.178454113674,185.84815688187075,196.16884987714653
2024-01-28,100.21451917252703,179.3848837717382,196.33190398554484
2024-01-29,101.4036938909475,169.25458067444583,193.66380965374367
2024-01-30,101.39419719903272,169.93234954430508,191.25480620924372
2024-01-31,102.13669325155847,167.2606430968669,190.36955240888545
2024-02-01,99.33591589857717,167.81572039770268,193.33058024588874
2024-02-02,99.4883788410652,163.9097500590926,194.79905530040966
2024-02-03,99.90766020998207,163.44123926852643,198.6338700966164
2024-02-04,96.68242294748404,159.06977507048927,200.4503608576489
2024-02-05,96.25967889680734,158.59162178648546,197.67076544669652
2024-02-06,94.80892705302983,157.15329826229842,196.24856192822176
2024-02-07,95.72549908538458,154.79194413809495,197.89190107639953
2024-02-08,95.00087217135562,150.7213232281263,197.04103903251584
2024-02-09,95.5312367919822,150.74297521685625,198.40196130496867
2024-02-10,95.37564673662118,145.40305922472896,198.48327764166334
2024-02-11,92.78469272196477,133.81497734624875,198.73336812847623
2024-02-12,93.71858585685234,146.81111055252074,198.0161949901777
2024-02-13,95.98665803664262,148.21266917119968,194.04528473699796
2024-02-14,98.03507651248584,149.26126639730737,196.6877339960719
2024-02-15,96.82762131096634,145.2912896811983,194.15487636465366
2024-02-16,97.2844960809251,157.48953901619356,196.73428827977756
2024-02-17,101.351762599719,155.74669453465683,197.29252188581592
2024-02-18,103.02388217332278,145.15505967874873,195.81667126367046
2024-02-19,103.86914500524952,149.60098906518374,197.69984273171622
2024-02-20,102.2044531207477,155.13914868068136,195.82108537674645
2024-02-21,103.49484779599263,171.85034851262932,193.24597102441626
2024-02-22,103.40017425836842,175.85252113269772,191.52927994505396
2024-02-23,100.3370052031467,184.9470896720877,191.92360757093945
2024-02-24,102.06127360049608,181.80985186127856,190.18808007122868
2024-02-25,103.57103002640257,177.50764088418362,191.88275940965246
2024-02-26,103.99993925733469,179.25474822485137,191.88046267696168
2024-02-27,105.09172850476827,183.36213021995806,190.2099600988096
2024-02-28,108.3445748146622,156.27299044506398,186.67231363095925
2024-02-29,107.51865511228209,155.35920710280806,186.22773380265693
2024-03-01,107.66714000499597,157.80956325937998,183.98890316590376
2024-03-02,106.28266267347963,151.82315682581742,183.23738727904112
2024-03-03,111.63459149855176,150.77119283460786,175.87828763849572
2024-03-04,110.55268272587878,144.24394984673862,177.27625085289924
2024-03-05,111.0332420900695,147.9830795111187,179.69807380739195
2024-03-06,110.54699690453438,148.8018757829663,176.09592110345778
2024-03-07,110.17465958326085,143.91348793966316,179.6105054458395
2024-03-08,108.27448807787329,148.9186211513013,177.8697863136413
2024-03-09,110.71090394304093,153.2294170375596,179.55831585301752
2024-03-10,110.98710893703515,155.81581696444337,177.07113388447715
2024-03-11,111.07893218808782,156.4427922244793,176.48423446309806
2024-03-12,108.53605769976298,151.10880572933902,177.10563190628355
2024-03-13,110.00348557689715,152.72344609442152,177.97367411310012
2024-03-14,109.44454475935564,138.52062967470044,182.20493488729912
2024-03-15,108.40457126073255,137.80863543135465,182.87750440476367
2024-03-16,109.69978493050094,138.27397761602774,182.09367087153936
2024-03-17,108.42314775542073,138.73013840264636,180.5963999389145
2024-03-18,109.82363981579682,124.14205985221777,180.83142410225506
2024-03-19,111.10374051079464,124.14295642623757,181.62334122437244
